Bezeichnung,Hersteller,Leistung (kW),Jahresleistung (grün=tatsächl. Werte),Rotor-Durchmesser (m),Nabenhöhe (m),Errichtungsjahr,Alter (Jahre),Rechtswert,Hochwert,Bürgerwind,Kleinwind,Column2,Column3,Column 16,Column 17
W2,Vestas,2000,,80,100,2003,11,3381360,5791843,,,,,52.2473023318975,7.261759680792775
W3,Vestas,2000,,80,100,2003,11,3381767,5791879,,,,,52.24771328828697,7.267703471049811
W4,Enercon,500,,40.2999999999999,65,1998,16,3382270,5791961,,,,,52.24855770361361,7.275036326905435
W5,Vestas,2000,,80,100,2003,11,3383222,5792042,,,,,52.24948812912256,7.288941252619507
W6,Vestas,2000,,80,100,2003,11,3381921,5791044,,,,,52.24024559250849,7.270249027040198
W7,Enercon,500,,40.2999999999999,65,1999,15,3385737,5792625,,,,,52.25525319237892,7.325553506595431
W8,Enercon,600,,44,78,2000,14,3384810,5788917,,,,,52.221750423425306,7.313247776530467
W9,Enercon,600,,44,65,1999,15,3384970,5788878,,,,,52.22143350848825,7.315601327576625
W10,Enercon,600,,44,65,1999,15,3385030,5788714,,,,,52.21997278918472,7.316534652497639
W11,Lagerwey,50,,15.4,30,1990,24,3384956,5788118,,Ja,,,52.21460336125154,7.315654897435196
W12,Tacke,60,,17.5,30,1991,23,3386129,5785518,,Ja,,,52.19149042679564,7.333683587494735
We1,Vestas,1500,,82,108.599999999999,2006,8,3420575,5797283,,,,,52.303238548665206,7.834508890208547
We2,NEG Micon,1000,,60,80,2002,12,3421249,5792361,,,,,52.25911069671973,7.845537639991663
We3,Tacke,300,,33,50,1995,19,3422966,5795677,,,,,52.289148919568966,7.86992142679209
