vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Kappenberger Damm,Inselbogen,mi,9/14/2016,19:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,13,14,,,,,44,,,,,
Rudolf-Diesel-Straße,,mi,9/14/2016,9:02,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,LT,,501,,14,,,,,,43,,,,,
Ludgeriplatz,2,mi,9/14/2016,16:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,14,,,,,,51,,,,,
Helma-Sjuts-Weg,25,mi,9/14/2016,11:45,5,,m,,,,,1,,,,,,,,1,,,44,row,,,,711,,36,,,,,,65,,Stadt,,,
Gremmendorfer Weg,Vörnste Esch,mi,9/14/2016,7:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,13,14,,,,,34,,,,,
Dülmener Straße,k.v. Albachten FR MS,mi,9/14/2016,6:25,5,,,o,,,,1,,,,,,,1,,,,21,coe,,,,751,,0,,86,,,,60,,,,,
Westfalenstraße,Amelsbürener Straße,mi,9/14/2016,9:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,201,,14,,,,,,28,,,,,
Osthofstraße,Alte Viehstraße,mi,9/14/2016,2:30,5,,,o,,,,1,,,,,,,1,,,,21,lh,,,,751,,0,,86,,2,,32,,,,,
Weseler Straße,Kolde-Ring,mi,9/14/2016,18:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,251,,14,,82,,,,56,,,,,
Albersloher Weg,10,mi,9/14/2016,9:20,5,,m,,,,,2,,,,,,,1,1,,,21,st,44,waf,,714,,36,37,,,,,59,,,,,
Marktallee,Zufahrt E-Center,mi,9/14/2016,12:50,5,,a,,,,,2,,1,j,,,,1,,,,71,,21,ms,,301,,31,,,,,,38,,,,,
Kinderhauser Straße,202,mi,9/14/2016,14:20,5,,z,,,,,2,,,,,,,2,,,,21,wn,21,ms,,501,,14,,,,,,34,,,,,
Hammer Straße,343,mi,9/14/2016,19:15,5,,z,,,,,2,,,,,,,1,1,,,51,ms,21,ms,,641,,26,,,,,,58,,,,,
Melchersstraße,Marientalstraße,mi,9/14/2016,8:25,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,hh,,601,,14,,,,,,32,,,,,
Homannstraße,Parkplatz Friedhof,mi,9/14/2016,18:20,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,341,,37,,,,,,41,,,,,
Vennheideweg,57,do,9/15/2016,17:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,25,,,,,
Drolshagenweg,2,do,9/15/2016,9:46,5,,m,,,,,2,,,,,,,1,1,,,44,ms,21,hr,,711,,36,,,,,,24,,,,,
Loddenheide,5,do,9/15/2016,11:17,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,61,,,,,
Münsterstraße,24,do,9/15/2016,10:35,5,,m,,,,,2,,,,,,,1,,1,,21,ms,33,waf,,703,,36,,,,,,91,,,,,
Prins-Claus-Straße,15,do,9/15/2016,19:00,5,,o,,,,,2,,,,,,,1,,1,,31,NL,21,ms,,711,,36,,,,,,25,,,,,
Hoyastraße,18,do,9/15/2016,6:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ge,,594,,14,,,,,,57,,,,,
Friesenring,43,do,9/15/2016,16:10,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,611,,14,,,,,,30,,,,,
Gutenbergstraße,12,do,9/15/2016,17:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,501,,14,,,,,,55,,,,,
Propsteistraße,33,do,9/15/2016,7:10,5,,o,,,,,2,,,,,,,2,,,,21,gt,21,w,,711,,36,,,,,,34,,,,,
Robert-Bosch-Straße,5,do,9/15/2016,13:04,5,,m,,,,,1,,,,,,,,1,,,44,wi,,,,711,,36,,,,,,49,,Stadt,,,
Plettendorfstraße,4,do,9/15/2016,12:50,5,,m,,,,,2,,,,,,,1,1,,,46,bor,21,coe,,703,,14,,,,,,55,,,,,
Albert-Schweitzer-Straße,1,do,9/15/2016,12:46,5,,o,,,,,2,,,,,,,2,,,,21,ge,21,ms,,703,,36,,,,,,57,,,,,
Münzstraße,33,do,9/15/2016,9:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,y,,302,,37,,,,,,32,,,,,
Industrieweg,B 51,do,9/15/2016,17:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,601,,13,14,,,,,23,,,,,
Bahnhofstraße,60,do,9/15/2016,13:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,54,,,,,
Augustastraße,5,do,9/15/2016,11:45,5,,m,,,,,2,,,,,,,2,,,,21,do,21,ms,,711,,36,,,,,,23,,,,,
Marktallee,Hohe Geest,do,9/15/2016,12:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,coe,,201,,35,,,,,,27,,,,,
Marktallee,12,fr,9/16/2016,8:00,5,,a,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,321,,28,,,,,,48,,,,,
Am Schütthook,1,fr,9/16/2016,17:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,30,,,,,
Robert-Blum-Straße,Cheruskerring,fr,9/16/2016,12:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,clp,,711,,36,,,,,,84,,,,,
Moltkestraße,Ludgeriplatz,fr,9/16/2016,12:00,5,,o,,,,,2,,,,,,,1,1,,,44,wi,21,be,,252,,14,,,,,,42,,,,,
Rüschhausweg,3,fr,9/16/2016,13:07,5,,m,,,,,2,,,,,,,2,,,,21,ah,21,ms,,711,,36,,,,,,47,,,,,
Friedrich-Ebert-Straße,114,fr,9/16/2016,14:10,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,mk,,326,,32,,,,,,50,,,,,
Sentmaringer Weg,103,fr,9/16/2016,14:45,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,coe,,501,,14,,,,,,34,,,,,
Augustastraße,9,fr,9/16/2016,12:35,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,501,,14,,,,,,24,,,,,
B 54,Hülshoffstraße,fr,9/16/2016,12:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,231,,14,,,,,,47,,,,,
Kinderhauser Straße,110,fr,9/16/2016,5:40,5,,m,,,,,2,,,,,,,,2,,,40,st,40,ms,,502,,14,,,,2,1,54,,,,,
Schneidemühler Straße,Tankstelle,fr,9/16/2016,19:30,5,,o,,,,,2,,,,,,,2,,,,21,f,21,ms,,711,,36,,,,1,,53,,,,,
Tannenbergstraße,19,fr,9/16/2016,18:15,5,,m,,,,,2,,,,,,,2,,,,21,wi,21,waf,,592,,14,,,,,,35,,,,,
Warendorfer Straße,71,fr,9/16/2016,14:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,711,,36,,,,,,71,,,,,
Schmeddingstraße,1,fr,9/16/2016,18:50,5,,m,,,,,2,,,,,,,2,,,,21,d,21,w,,711,,36,,,,,,47,,,,,
Graelstraße,14,fr,9/16/2016,8:29,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,1,41,,,,,
Wichernstraße,Zufahrt TG EVK,mo,9/19/2016,16:00,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,36,,,,,,F,,,,,
Roggenmarkt,7,mi,7/6/2016,10:10,5,X,,,,,,1,,,,,,,,1,,,44,ms,,,,799,,14,,,,,,58,,Stadt,,,
Hammer Straße,209,so,8/7/2016,11:25,2,,,,,1,,2,1,1,n,,,,,,,,81,,71,,,421,,68,,,,,,2,73,,,,
Münzstraße,1,sa,8/6/2016,0:10,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,,49,,,,2/3,,30,,,,,
Wichernstraße,9,mo,9/19/2016,20:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,,,
Domplatz,23,fr,8/5/2016,18:30,5,X,,,,,,2,,,,,,,2,,,,21,st,21,coe,,703,,49,,,,2/3,,F,,,,,
Culmer Straße,16,do,9/15/2016,13:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,,,
Meesenstiege,Hünenburg,do,9/8/2016,11:00,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,28,,,,,,60,,,,,
Weseler Straße,Fritz-Stricker-Straße,do,9/15/2016,15:00,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,631,,26,,,,,,65,,,,,
Geringhoffstraße,44,do,9/15/2016,17:57,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,1,,42,,,,,
Busso-Peuss-Straße,Baustelle,fr,9/16/2016,14:00,5,,z,,,,,1,,,,,,,,1,,,44,st,,,,711,,36,,,,,,48,,,,,
