Name  /  Date: 2016_11_01;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03180_FV2_G (MQ156);26;18;13;15;18;5;6;13;21;52;76;77;106;95;91;93;87;103;92;65;52;42;21;15;
MQ_03180_FV2_L (MQ157);1;3;2;0;1;1;1;0;3;8;11;6;11;14;11;11;12;19;8;10;10;7;7;1;
MQ_03180_FV2_R (MQ158);3;1;2;2;2;1;1;2;3;7;12;10;14;12;10;11;12;11;11;8;7;7;4;2;
MQ_03180_FV3_G (MQ159);63;47;32;31;19;44;41;56;87;146;212;253;274;301;363;312;332;347;324;254;170;120;66;40;
MQ_03290_FV4_L (MQ16);;;;;;;;;;;;;149;163;121;93;70;49;19;
MQ_03180_FV3_L (MQ160);32;26;18;14;6;10;22;29;54;93;136;212;254;276;286;224;229;248;196;123;110;74;39;10;
MQ_03180_FV3_R (MQ161);2;2;1;1;0;1;1;1;2;4;6;7;8;8;11;8;9;10;9;7;5;3;2;1;
MQ_03180_FV4_G (MQ162);21;7;12;8;4;7;11;5;15;30;33;57;56;62;80;72;61;78;55;51;40;21;10;7;
MQ_08041_FV1_G (MQ163);181;190;156;160;169;134;116;90;88;142;214;221;283;307;388;342;358;413;317;330;238;196;207;84;
MQ_03180_FV4_L (MQ164);12;6;13;10;8;4;7;9;11;12;30;38;34;56;56;38;47;46;45;38;25;16;16;6;
MQ_08041_FV1_L (MQ165);4;3;5;7;5;6;6;0;4;4;8;8;10;2;9;8;9;5;8;3;2;3;3;2;
MQ_08041_FV1_R (MQ166);4;8;5;8;6;2;4;1;4;0;10;11;10;7;11;9;7;12;8;13;12;7;3;1;
MQ_03180_FV4_R (MQ167);28;14;15;7;10;23;30;30;49;91;167;170;193;198;234;219;211;188;158;127;98;57;52;17;
MQ_03021_FV1_G (MQ168);87;63;37;29;39;68;60;73;142;259;452;473;461;476;491;467;387;441;386;292;239;146;102;66;
MQ_08041_FV2_L (MQ169);6;3;3;7;3;6;3;14;11;7;5;9;19;9;10;15;13;15;9;11;2;3;6;1;
MQ_03070_FV1_R (MQ17);13;11;10;8;12;25;36;20;24;47;53;68;72;95;99;88;72;83;75;62;41;26;27;10;
MQ_05010_FV1_L (MQ170);70;62;64;49;35;63;65;52;84;152;186;204;215;235;283;254;254;307;235;174;126;92;55;27;
MQ_05010_FV1_R (MQ171);2;1;4;1;2;1;1;2;8;5;14;13;17;19;11;16;10;7;10;9;6;7;1;1;
MQ_08041_FV3_G (MQ172);172;105;101;110;111;112;102;73;122;183;246;277;315;345;451;401;415;467;420;329;191;118;98;48;
MQ_05010_FV2_G (MQ173);51;52;38;30;33;35;50;54;49;68;110;134;153;153;189;162;152;195;155;133;109;73;77;49;
MQ_08041_FV3_L (MQ174);1;2;3;0;0;0;1;1;7;3;2;6;7;7;10;9;7;12;6;5;7;3;1;0;
MQ_08041_FV3_R (MQ175);5;1;3;7;4;4;13;8;12;4;11;15;18;14;14;10;11;10;11;5;1;3;3;1;
MQ_05010_FV2_R (MQ176);60;60;38;31;29;39;48;50;55;72;145;166;195;211;237;215;215;245;205;164;140;99;89;49;
MQ_03021_FV3_G (MQ177);93;65;45;42;34;48;103;107;108;230;359;418;448;512;623;618;653;641;420;357;288;207;131;50;
MQ_08041_FV4_L (MQ178);2;1;1;1;0;0;0;0;1;0;2;5;5;9;3;5;2;3;5;1;3;2;3;0;
MQ_05010_FV3_G (MQ179);6;4;4;4;4;9;5;5;9;14;31;43;46;54;55;49;44;53;27;20;16;11;12;5;
MQ_03070_FV2_G (MQ18);40;44;43;39;23;31;26;19;35;60;68;91;105;119;119;127;88;118;114;108;104;73;56;27;
MQ_03020_FV3_L (MQ180);4;2;2;1;3;1;1;8;4;5;23;24;32;39;30;21;32;21;25;16;17;12;6;3;
MQ_05010_FV3_L (MQ181);1;3;3;1;0;3;1;1;6;2;7;10;18;14;12;19;17;14;13;10;7;4;2;1;
MQ_16130_FV1_G (MQ182);2;1;4;2;1;11;4;3;3;14;7;7;9;13;25;11;22;13;7;9;9;3;5;1;
MQ_03020_FV3_G (MQ183);57;41;27;28;30;53;39;48;96;180;343;360;362;355;366;338;237;292;313;240;165;134;69;53;
MQ_16130_FV1_L (MQ184);7;16;8;10;8;9;6;2;4;16;16;25;18;26;25;38;26;23;30;26;18;16;12;1;
MQ_16130_FV1_R (MQ185);3;3;0;3;0;3;0;0;1;3;3;5;11;13;4;11;9;12;5;1;6;5;4;0;
MQ_16130_FV2_G (MQ186);71;59;57;44;33;28;58;33;50;90;119;159;197;209;225;229;199;244;210;183;144;128;90;39;
MQ_16130_FV2_L (MQ187);31;31;31;35;30;76;37;30;42;91;110;136;143;154;165;153;123;134;114;99;85;39;48;20;
MQ_16130_FV2_R (MQ188);15;14;6;5;6;6;1;2;1;10;6;18;17;26;21;16;12;21;13;16;20;10;15;2;
MQ_16130_FV3_G (MQ189);5;1;0;0;0;3;8;3;7;7;4;15;11;28;27;30;18;18;13;11;9;13;5;4;
MQ_03290_FV5_R (MQ19);;;;;;;;;;;;;56;33;41;44;31;34;13;
MQ_16130_FV3_L (MQ190);0;0;0;0;0;0;1;0;1;1;3;4;5;7;14;7;19;12;2;7;3;4;2;0;
MQ_16130_FV3_R (MQ191);24;24;24;40;8;20;60;22;42;97;114;121;149;166;205;192;177;183;167;130;98;78;40;17;
MQ_16130_FV4_G (MQ192);76;46;52;43;37;37;28;39;83;134;168;204;215;230;283;245;236;216;194;161;103;91;62;31;
MQ_16130_FV4_L (MQ193);1;1;0;2;0;3;1;0;1;3;4;1;3;6;6;2;8;6;5;4;3;3;0;1;
MQ_16130_FV4_R (MQ194);2;3;0;0;0;6;2;2;1;5;5;10;9;12;23;11;5;6;6;4;3;1;0;0;
MQ_03040_FV1_G (MQ195);66;53;40;32;28;43;91;96;94;246;387;388;418;453;556;476;441;431;360;313;226;166;120;41;
MQ_03040_FV1_L (MQ196);1;2;1;0;0;2;6;8;2;6;14;10;12;13;17;13;19;13;3;5;2;1;2;1;
MQ_03040_FV1_R (MQ197);0;0;2;1;0;1;1;1;1;5;1;5;6;2;4;1;3;1;3;2;0;1;0;0;
MQ_03040_FV2_G (MQ198);1;2;0;0;0;2;3;5;5;8;17;24;21;27;18;27;30;24;10;6;4;2;1;1;
MQ_03040_FV2_L (MQ199);1;2;0;0;0;2;3;5;5;8;17;24;21;27;18;27;30;24;10;6;4;2;1;1;
MQ_03070_FV1_G (MQ2);39;32;19;16;16;46;51;73;78;198;305;265;299;315;356;327;301;285;238;187;148;82;61;32;
MQ_03070_FV2_L (MQ20);5;5;1;2;1;6;10;9;7;29;24;32;47;33;40;44;41;24;33;25;15;11;8;7;
MQ_08054_FV1_R (MQ200);5;3;2;1;2;4;8;8;4;5;9;8;16;13;17;15;10;8;8;10;5;1;1;0;
MQ_08054_FV1_G (MQ201);166;117;108;96;106;76;95;92;92;187;250;346;425;488;615;586;514;577;512;403;313;245;198;81;
MQ_03040_FV2_R (MQ202);1;2;0;0;0;2;3;5;5;8;17;24;21;27;18;27;30;24;10;6;4;2;1;1;
MQ_08054_FV2_R (MQ203);0;1;0;0;0;2;0;1;1;1;0;4;5;2;1;5;1;8;3;2;1;0;1;0;
MQ_08054_FV2_L (MQ204);1;3;0;0;0;1;0;2;0;4;4;6;3;8;7;6;11;6;3;7;2;2;0;2;
MQ_03040_FV3_G (MQ205);80;42;33;23;31;58;55;59;111;192;327;381;396;438;488;492;531;484;351;245;241;133;88;62;
MQ_03040_FV3_L (MQ206);2;2;1;0;0;2;3;0;0;0;0;8;7;5;4;4;5;6;3;2;5;4;0;0;
MQ_03040_FV3_R (MQ207);5;2;2;1;2;2;3;3;6;11;16;18;19;21;25;25;26;22;16;13;12;7;6;4;
MQ_08054_FV3_G (MQ208);133;86;73;71;82;80;109;103;172;337;488;484;502;548;620;538;460;529;467;360;239;143;97;63;
MQ_08054_FV3_L (MQ209);0;0;0;0;0;1;1;1;2;0;1;4;1;3;2;5;1;2;2;1;0;0;0;0;
MQ_03020_FV4_G (MQ21);11;17;9;8;8;7;10;8;25;50;56;53;65;82;91;80;89;92;68;64;41;19;15;12;
MQ_08060_FV1_R (MQ210);4;3;1;2;2;4;7;10;6;7;11;12;17;18;16;28;18;14;20;15;10;10;11;5;
MQ_03040_FV4_G (MQ211);0;0;1;0;0;0;1;0;3;5;4;6;5;5;5;7;7;7;4;3;2;2;1;0;
MQ_08060_FV1_G (MQ212);150;108;96;86;92;66;82;70;78;173;229;310;437;442;568;521;470;525;476;369;276;222;182;67;
MQ_03040_FV4_L (MQ213);0;0;1;0;0;0;1;0;3;5;4;6;5;5;5;7;7;7;4;3;2;2;1;0;
MQ_08060_FV1_L (MQ214);4;4;4;4;2;5;3;4;4;6;9;21;17;24;33;33;19;26;11;13;11;3;7;3;
