Name  /  Date: 2016_11_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_08060_FV2_G (MQ219);3;1;2;2;7;26;88;121;125;104;103;103;104;91;109;113;123;114;85;62;28;19;22;7;
MQ_08060_FV2_L (MQ220);22;8;5;10;11;21;55;103;111;96;89;97;100;102;100;122;127;126;143;87;75;81;72;29;
MQ_03050_FV1_R (MQ221);1;2;2;1;3;20;56;108;102;106;76;82;88;76;75;59;61;48;42;39;30;12;14;9;
MQ_03050_FV2_G (MQ222);20;12;4;4;5;22;82;189;189;163;190;249;245;275;306;324;350;340;270;252;191;143;103;44;
MQ_03050_FV2_L (MQ223);18;12;4;4;8;19;77;194;200;168;189;239;231;239;276;311;321;325;285;254;194;141;108;48;
MQ_08060_FV3_R (MQ224);2;2;1;4;4;10;52;150;127;71;79;66;84;74;117;87;83;97;73;48;42;26;16;9;
MQ_08060_FV3_G (MQ225);33;34;16;32;66;263;793;1392;1175;825;647;628;609;634;711;742;749;598;632;441;258;212;154;92;
MQ_03050_FV2_R (MQ226);15;7;3;3;3;13;47;104;109;101;123;141;138;178;184;199;212;206;155;153;129;72;53;29;
MQ_08060_FV3_L (MQ227);8;6;3;6;13;66;183;352;304;185;182;172;173;180;182;212;189;167;137;80;46;41;33;12;
MQ_03050_FV3_G (MQ228);37;15;12;16;34;117;358;683;720;539;432;505;545;572;614;699;854;803;564;412;282;208;153;69;
MQ_03050_FV3_L (MQ229);1;49;257;;3;23;47;78;142;270;474;368;85;200;;26;268;23;24;243;0;133;964;345;
MQ_03050_FV3_R (MQ230);4;1;1;1;2;4;29;116;114;93;45;50;63;56;65;60;67;59;63;33;28;18;8;11;
MQ_03050_FV4_G (MQ231);3;5;1;2;6;13;47;94;113;92;99;118;112;119;142;142;172;139;105;58;43;32;24;15;
