Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_05010_FV1_L (MQ170);435;407;333;347;409;358;400;361;412;390;352;255;194;140;108;109;
MQ_05010_FV1_R (MQ171);120;60;44;37;54;54;120;47;32;27;22;18;10;8;1;4;
MQ_08041_FV3_G (MQ172);191;583;539;481;472;482;400;468;499;515;465;440;363;249;174;142;
MQ_05010_FV2_G (MQ173);325;302;290;269;299;308;440;339;300;294;261;222;220;164;138;108;
MQ_08041_FV3_L (MQ174);80;18;16;23;20;22;0;16;19;12;18;13;9;5;5;6;
MQ_08041_FV3_R (MQ175);120;123;145;153;136;139;40;152;193;151;124;87;30;10;3;1;
MQ_05010_FV2_R (MQ176);120;252;262;298;298;328;400;382;385;329;372;277;213;143;120;94;
MQ_03021_FV3_G (MQ177);380;669;644;719;856;939;712;1012;967;833;745;465;387;352;195;146;
MQ_08041_FV4_L (MQ178);;12;6;10;4;6;;5;8;3;5;7;6;3;3;3;
MQ_05010_FV3_G (MQ179);258;150;192;238;411;465;200;288;151;221;153;116;54;23;15;11;
MQ_03070_FV2_G (MQ18);278;157;150;169;194;173;160;226;187;165;182;142;136;91;83;71;
MQ_03020_FV3_L (MQ180);;;;;;;;;
MQ_05010_FV3_L (MQ181);-30;26;39;49;62;93;120;36;27;32;29;30;10;11;8;5;
MQ_16130_FV1_G (MQ182);;;;;;;;;
MQ_03020_FV3_G (MQ183);;;;;;;;;
MQ_16130_FV1_L (MQ184);;;;;;;;;
MQ_16130_FV1_R (MQ185);;;;;;;;;
MQ_16130_FV2_G (MQ186);;;;;;;;;
MQ_16130_FV2_L (MQ187);;;;;;;;;
MQ_16130_FV2_R (MQ188);;;;;;;;;
MQ_16130_FV3_G (MQ189);;;;;;;;;
MQ_03290_FV5_R (MQ19);135;100;80;77;109;77;120;77;62;83;84;60;50;35;61;51;
MQ_16130_FV3_L (MQ190);;;;;;;;;
MQ_16130_FV3_R (MQ191);;;;;;;;;
MQ_16130_FV4_G (MQ192);;;;;;;;;
MQ_16130_FV4_L (MQ193);;;;;;;;;
MQ_16130_FV4_R (MQ194);;;;;;;;;
MQ_03040_FV1_G (MQ195);696;639;574;615;733;839;480;882;852;695;624;425;288;274;173;120;
MQ_03040_FV1_L (MQ196);80;29;20;22;22;19;;25;20;8;7;4;8;8;2;0;
MQ_03040_FV1_R (MQ197);;;;;;;;;;;;;;;;;
MQ_03040_FV2_G (MQ198);26;19;20;27;32;40;26;33;33;26;15;14;7;8;4;3;
MQ_03040_FV2_L (MQ199);26;19;20;27;32;40;26;33;33;26;15;14;7;8;4;3;
MQ_03070_FV1_G (MQ2);914;437;365;348;409;482;520;479;477;435;357;233;160;145;102;70;
MQ_03070_FV2_L (MQ20);41;61;52;66;60;61;120;80;57;59;40;35;26;25;14;11;
MQ_08054_FV1_R (MQ200);286;93;68;84;113;80;;49;56;38;24;24;16;11;9;3;
MQ_08054_FV1_G (MQ201);-86;587;713;796;955;1070;1680;1170;1100;1069;910;752;565;373;296;235;
MQ_03040_FV2_R (MQ202);26;19;20;27;32;40;26;33;33;26;15;14;7;8;4;3;
MQ_08054_FV2_R (MQ203);-70;10;15;17;44;39;40;33;21;33;10;5;6;4;4;1;
