Name  /  Date: 2015_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03020_FV4_G (MQ21);87;94;89;98;90;142;143;122;77;76;46;24;16;
MQ_08060_FV1_R (MQ210);84;68;71;71;68;71;53;41;27;19;14;14;5;
MQ_03040_FV4_G (MQ211);13;13;12;14;18;13;16;11;9;6;3;2;1;
MQ_08060_FV1_G (MQ212);628;684;728;735;898;1047;1078;937;661;450;301;384;155;
MQ_03040_FV4_L (MQ213);13;13;12;14;18;13;16;11;9;6;3;2;1;
MQ_08060_FV1_L (MQ214);95;100;95;85;90;138;109;66;47;33;14;14;2;
MQ_03040_FV4_R (MQ215);13;13;12;14;18;13;16;11;9;6;3;2;1;
MQ_03050_FV1_G (MQ216);770;676;718;744;898;885;910;720;491;361;286;168;85;
MQ_03050_FV1_L (MQ217);161;176;182;176;184;188;185;159;154;83;38;33;20;
MQ_02010_FV3_L (MQ218);12;10;12;14;14;17;16;14;11;7;6;4;2;
MQ_08060_FV2_G (MQ219);116;96;96;113;106;120;148;92;53;25;19;19;6;
MQ_03020_FV4_R (MQ22);29;31;30;33;30;47;48;41;26;25;15;8;5;
MQ_08060_FV2_L (MQ220);;;;;;;;;;;;;;
MQ_03050_FV1_R (MQ221);71;80;67;70;61;58;55;65;43;33;17;6;5;
MQ_03050_FV2_G (MQ222);173;183;170;182;174;199;157;174;136;110;92;80;43;
MQ_03050_FV2_L (MQ223);89;92;107;93;117;111;101;82;62;44;34;30;9;
MQ_08060_FV3_R (MQ224);55;80;88;79;103;107;97;102;67;41;25;14;9;
MQ_08060_FV3_G (MQ225);575;568;589;643;689;771;665;708;512;265;185;151;82;
MQ_03050_FV2_R (MQ226);172;221;205;227;250;261;245;205;166;124;93;75;34;
MQ_08060_FV3_L (MQ227);136;168;152;157;188;188;161;142;99;68;53;35;19;
MQ_03050_FV3_G (MQ228);490;546;534;559;698;887;801;620;392;314;234;155;83;
MQ_03050_FV3_L (MQ229);74;49;59;32;34;33;31;28;22;26;10;4;6;
MQ_03020_FV3_R (MQ23);20;18;17;19;20;23;24;19;13;9;7;6;4;
MQ_03050_FV3_R (MQ230);43;48;50;67;54;68;84;63;56;33;20;11;4;
MQ_03050_FV4_G (MQ231);103;116;139;112;136;139;114;98;68;55;42;16;12;
MQ_03050_FV4_L (MQ232);61;85;86;86;88;111;81;69;32;38;32;7;7;
MQ_03060_FV1_G (MQ233);1059;918;966;994;1127;1139;1186;955;675;486;359;217;113;
MQ_08060_FV4_R (MQ234);168;185;222;215;291;361;394;269;164;119;68;78;25;
MQ_08060_FV4_G (MQ235);129;102;149;123;167;228;189;137;79;46;25;34;13;
MQ_03060_FV2_G (MQ236);803;916;899;919;1095;1323;1197;948;653;520;378;254;145;
MQ_08060_FV4_L (MQ237);76;69;69;67;89;110;100;56;33;28;15;12;3;
MQ_03130_FV1_G (MQ238);;
MQ_03130_FV1_L (MQ239);;
MQ_08020_FV1_L (MQ24);164;112;113;163;174;141;128;135;170;120;94;70;65;
MQ_03130_FV1_R (MQ240);;
MQ_03130_FV2_G (MQ241);;
MQ_03130_FV2_L (MQ242);;
MQ_03130_FV2_R (MQ243);;
MQ_06160_FV1_R (MQ244);16;13;13;14;15;16;16;15;13;8;7;5;4;
MQ_03130_FV3_G (MQ245);;
MQ_03130_FV3_L (MQ246);;
MQ_03130_FV3_R (MQ247);;
MQ_03130_FV4_G (MQ248);;
MQ_03130_FV4_L (MQ249);;
MQ_08020_FV1_G (MQ25);743;714;751;759;769;810;784;777;775;465;334;344;172;
MQ_03130_FV4_R (MQ250);;
MQ_03150_FV1_G (MQ251);876;854;935;956;1030;1104;999;1019;783;559;415;305;155;
MQ_06161_FV1_R (MQ252);204;275;327;291;415;423;363;359;225;132;112;104;47;
MQ_08070_FV1_G (MQ253);;;;;;;;;;;;;;
MQ_03150_FV1_L (MQ254);109;113;119;102;134;75;120;102;51;45;37;25;7;
MQ_03150_FV1_R (MQ255);23;24;27;26;33;40;28;27;22;16;12;9;5;
MQ_08070_FV2_R (MQ256);;;;;;;;;;;;;;
MQ_08070_FV2_L (MQ257);;;;;;;;;;;;;;
MQ_03150_FV2_G (MQ258);92;116;162;165;190;222;239;215;92;66;54;34;151;
MQ_03150_FV2_L (MQ259);204;226;242;307;175;201;277;229;216;270;187;150;62;
MQ_08052_FV1_G (MQ26);593;799;875;850;965;1110;1006;852;614;413;309;399;165;
MQ_08070_FV3_G (MQ260);755;795;810;855;954;1039;893;902;646;355;252;186;106;
MQ_03150_FV2_R (MQ261);40;50;69;71;82;95;103;92;39;28;23;15;65;
MQ_08070_FV3_L (MQ262);30;32;44;28;37;32;30;34;16;11;5;10;3;
MQ_03150_FV3_G (MQ263);597;634;718;697;905;853;959;820;566;317;267;164;99;
MQ_03150_FV3_L (MQ264);511;530;572;593;643;607;652;591;480;319;250;211;115;
MQ_03150_FV3_R (MQ265);32;26;31;30;43;42;47;42;26;15;12;6;5;
MQ_08080_FV1_G (MQ266);719;874;969;924;1158;1375;1465;1165;798;550;360;438;170;
MQ_08080_FV1_R (MQ267);3;3;4;4;5;6;7;5;3;2;1;2;1;
MQ_08080_FV1_L (MQ268);110;84;70;93;99;163;190;144;88;57;31;40;11;
MQ_06161_FV2_R (MQ269);161;170;170;202;176;180;144;143;113;83;53;31;13;
MQ_08020_FV2_R (MQ27);40;21;19;21;21;31;27;34;31;17;17;11;9;
MQ_06161_FV2_L (MQ270);298;353;334;332;385;430;443;405;256;178;126;95;49;
MQ_03150_FV4_G (MQ271);60;78;84;82;119;134;115;94;73;57;39;34;19;
MQ_08080_FV2_R (MQ272);35;59;63;68;76;84;68;72;53;26;17;14;4;
MQ_08080_FV2_L (MQ273);9;16;17;18;20;22;18;19;14;7;4;4;1;
MQ_08080_FV2_G (MQ274);2;4;4;5;5;6;5;5;4;2;1;1;0;
MQ_08080_FV3_R (MQ275);35;34;33;25;44;54;31;49;40;27;8;13;7;
MQ_08080_FV3_G (MQ276);755;769;779;807;905;961;839;843;606;328;240;184;102;
MQ_03150_FV4_L (MQ277);75;112;114;117;107;129;137;120;93;81;43;68;29;
MQ_08080_FV3_L (MQ278);40;27;10;13;20;21;26;19;17;6;6;3;3;
MQ_03150_FV4_R (MQ279);56;72;77;76;110;123;106;87;68;52;35;31;18;
MQ_08020_FV2_L (MQ28);129;130;146;152;196;178;177;140;108;67;64;60;21;
MQ_03170_FV1_G (MQ280);570;659;743;728;816;890;831;790;603;428;291;267;118;
MQ_06161_FV3_G (MQ281);227;310;287;306;325;359;348;322;232;147;105;88;56;
MQ_08080_FV4_G (MQ282);21;16;17;14;21;27;25;25;16;10;6;6;3;
MQ_08080_FV4_R (MQ283);10;7;7;6;7;11;9;10;4;4;3;4;2;
MQ_08080_FV4_L (MQ284);48;37;40;32;48;63;57;59;36;22;13;15;6;
MQ_03170_FV1_L (MQ285);95;81;87;110;99;141;131;113;105;72;48;39;23;
MQ_03170_FV1_R (MQ286);16;20;21;22;24;27;24;24;18;14;9;9;4;
MQ_06161_FV1_L (MQ287);208;191;156;137;165;195;188;141;107;81;58;46;26;
MQ_03170_FV2_G (MQ288);57;56;55;59;64;76;69;69;44;39;25;21;13;
MQ_03170_FV2_L (MQ289);53;88;90;86;108;128;95;112;65;58;35;36;20;
MQ_08052_FV1_R (MQ29);;24;17;20;13;16;18;8;9;8;1;0;0;
MQ_03170_FV2_R (MQ290);55;54;53;56;61;74;67;67;43;38;24;20;12;
MQ_03170_FV3_G (MQ291);722;594;672;681;705;735;790;730;577;386;351;353;202;
MQ_03170_FV3_L (MQ292);;12;21;21;23;27;53;24;13;12;7;7;3;
MQ_08090_FV1_G (MQ293);551;631;725;720;889;1044;1087;839;584;399;271;323;137;
MQ_03170_FV3_R (MQ294);37;32;35;36;37;39;40;37;27;17;15;15;10;
MQ_03170_FV4_G (MQ295);105;111;95;103;127;139;137;126;95;66;46;43;21;
MQ_03170_FV4_L (MQ296);111;137;116;119;145;190;163;135;118;76;56;46;25;
MQ_08090_FV1_L (MQ297);227;263;258;226;295;351;392;352;236;155;105;121;38;
MQ_03170_FV4_R (MQ298);8;8;7;8;10;10;10;9;7;5;4;3;2;
MQ_08090_FV2_R (MQ299);245;225;194;212;268;266;260;269;201;96;61;49;21;
MQ_03290_FV12_G (MQ3);173;208;214;221;209;205;220;223;205;143;96;126;65;
MQ_06160_FV2_G (MQ30);10;21;20;19;26;29;29;26;15;11;9;8;4;
MQ_08090_FV2_L (MQ300);50;44;35;40;46;40;37;37;29;21;19;7;2;
MQ_08063_FV1_G (MQ301);171;201;176;188;212;199;177;141;79;72;39;31;18;
MQ_08063_FV1_L (MQ302);29;19;23;30;22;47;33;30;19;5;8;8;6;
MQ_08090_FV3_G (MQ303);391;411;506;508;561;598;473;495;372;212;160;129;70;
MQ_08063_FV2_L (MQ304);204;190;186;192;238;210;172;153;86;55;33;32;14;
MQ_08063_FV2_R (MQ305);20;19;18;19;24;21;17;15;8;6;3;3;1;
MQ_08063_FV3_G (MQ306);373;295;267;347;367;614;569;313;245;150;96;99;36;
MQ_08090_FV3_R (MQ307);61;105;66;61;97;90;117;117;57;43;30;12;9;
MQ_08063_FV3_R (MQ308);118;93;84;109;116;194;180;99;77;47;30;31;11;
MQ_08062_FV1_G (MQ309);327;377;351;372;428;392;321;275;168;120;71;65;33;
MQ_08020_FV3_G (MQ31);418;596;596;633;612;639;698;668;544;394;264;408;217;
MQ_08062_FV1_L (MQ310);21;45;32;46;43;32;39;23;16;10;10;3;4;
MQ_08062_FV2_L (MQ311);167;147;145;110;118;195;146;141;98;52;48;24;20;
MQ_08062_FV2_R (MQ312);131;115;114;86;92;153;114;110;77;41;38;19;15;
MQ_08062_FV3_G (MQ313);131;103;128;243;297;428;416;220;155;92;60;29;5;
MQ_08062_FV3_R (MQ314);131;103;128;243;297;428;416;220;155;92;60;29;5;
MQ_08061_FV1_G (MQ315);;
MQ_08100_FV1_R (MQ316);-3;4;0;5;9;4;0;0;1;0;0;0;0;
MQ_08100_FV1_G (MQ317);614;666;755;743;920;1079;1120;862;610;416;284;335;140;
MQ_08061_FV1_L (MQ318);;
MQ_08061_FV1_R (MQ319);;
